H1	L1	V1
1.4162066187847894e-18	4.619789925042384e-18	-3.112129080918475e-20
1.4141456383101463e-18	4.6098854399970076e-18	-1.9377869114845038e-20
1.4336660858130737e-18	4.609008244312367e-18	-1.0432850972612338e-20
1.4276366652054851e-18	4.6145777247862796e-18	-1.0984261301815936e-20
1.420796208608834e-18	4.603513977380056e-18	-1.3247688778125075e-20
1.4340066314850806e-18	4.611734653885807e-18	-2.0363532062441628e-20
1.432982568930964e-18	4.611519637480578e-18	-2.5428722655714677e-20
1.4359590024725124e-18	4.600615168517715e-18	-3.009428151393614e-20
1.438938949371779e-18	4.6114159262358746e-18	-1.7199135454553466e-20
1.4289487092642074e-18	4.604132698081809e-18	-5.990719066102711e-21
1.444386673309323e-18	4.598957415878674e-18	-5.516672101542398e-21
1.4517794417510853e-18	4.6079408161871145e-18	1.424936209059027e-20
1.4354951582151308e-18	4.597108129823321e-18	3.0790480330974636e-20
1.446742144887588e-18	4.600524478232368e-18	4.2794980845320096e-20
1.452961846291184e-18	4.603987644522704e-18	5.869634529489377e-20
1.4491463479609623e-18	4.5925623542727885e-18	6.532264147934494e-20
1.4579979331691592e-18	4.600357139314501e-18	6.988964836978796e-20
1.446669015608983e-18	4.598818152932152e-18	7.219297100252841e-20
1.4524111459198503e-18	4.5902022673500485e-18	6.033593969853916e-20
1.471726376579004e-18	4.597965890818984e-18	5.1466779517335366e-20
1.4540697476051184e-18	4.591497460456331e-18	5.496733241409932e-20
1.454874350793338e-18	4.587816621576102e-18	5.884149924632923e-20
1.4706254268717414e-18	4.596698834242749e-18	6.899596924057085e-20
1.4647056798876743e-18	4.587065967275771e-18	7.650218796137017e-20
1.4703766826454428e-18	4.588841159411507e-18	8.511158389960414e-20
1.4674095452505795e-18	4.5923135262459625e-18	1.112458949341156e-19
1.4628136294103728e-18	4.581824738318731e-18	1.1848197158426734e-19
1.4828100326169512e-18	4.588666694282608e-18	1.2238933949336835e-19
1.4762260998342018e-18	4.583643230260178e-18	1.4238421834044699e-19
1.4657862376368595e-18	4.5782755110286015e-18	1.4442072300086168e-19
1.483138855337405e-18	4.586796287021681e-18	1.3877089901834884e-19
1.4807845073618065e-18	4.578818081805832e-18	1.3197360431238663e-19
1.4811539199546146e-18	4.580395259042694e-18	1.1791967397405626e-19
1.4856556506766796e-18	4.5816744757101594e-18	1.1590413521333395e-19
1.473562974745769e-18	4.572403106520994e-18	1.2522978003056647e-19
1.4915515948271034e-18	4.5785755466389644e-18	1.310459477486714e-19
1.4988190683998536e-18	4.5746001240742675e-18	1.3824708905206928e-19
1.4766921701997215e-18	4.569587009969288e-18	1.4621212961281515e-19
1.4891667946004387e-18	4.577818658295592e-18	1.5836692567186304e-19
1.49933001628838e-18	4.56920169882104e-18	1.6456192811647856e-19
1.4914584305245006e-18	4.568587025465966e-18	1.7433679632462238e-19
1.4975215424625358e-18	4.574250538339447e-18	1.9429948482105506e-19
1.4908321822256074e-18	4.563874075698137e-18	1.9000933486954183e-19
1.4955627184728119e-18	4.567620775079871e-18	1.8524162432213574e-19
1.5140817746251536e-18	4.56636035632473e-18	1.781770345913523e-19
1.494718623172411e-18	4.559747097345562e-18	1.6231839106387184e-19
1.4923755495532515e-18	4.566303860161664e-18	1.6437165265732123e-19
1.5145578546183855e-18	4.560271340564017e-18	1.622763835023883e-19
1.50519117616782e-18	4.560468819771338e-18	1.6201901179445098e-19
1.5053725339759625e-18	4.5638695106900485e-18	1.689748161732664e-19
1.5070800469548983e-18	4.553636640088823e-18	1.6323899604701163e-19
1.5014427069019562e-18	4.5576230070588205e-18	1.7607865670412108e-19
1.5215515206848984e-18	4.5583862388178995e-18	1.8812797835640546e-19
1.5145832232293613e-18	4.549811680172792e-18	1.854360180536528e-19
1.4974456987460353e-18	4.5540712658897726e-18	2.0387699432751647e-19
1.5184024398348615e-18	4.551584566655557e-18	2.0905861791781964e-19
1.5210433807619955e-18	4.54857127812237e-18	1.996788095427949e-19
1.5122104737125558e-18	4.555091696793941e-18	1.9055043968542753e-19
1.518804391001828e-18	4.545657344900868e-18	1.7453358092414484e-19
1.5134050537511983e-18	4.544211739144488e-18	1.6744151148366506e-19
1.522530104694009e-18	4.548568996958683e-18	1.6831675494845993e-19
1.5298487948352206e-18	4.537643826038891e-18	1.6431706310869764e-19
1.5084864611797168e-18	4.54407875345744e-18	1.6825594913664484e-19
1.519034838134874e-18	4.543612189486165e-18	1.7539610654047687e-19
1.535288953883223e-18	4.534580062579732e-18	1.7296713145973818e-19
1.5209509914103483e-18	4.544296226466665e-18	1.8279190235002976e-19
1.5241412893245959e-18	4.5360232034259204e-18	1.9374919794796175e-19
1.5241174010656559e-18	4.5321448964822634e-18	1.9694434788810925e-19
1.5242267553451152e-18	4.538958636430436e-18	2.0385433936066824e-19
1.5387351736987371e-18	4.5268975434929545e-18	2.1077498434455023e-19
1.5213234059249359e-18	4.5317267472868115e-18	1.949724497512783e-19
1.5181565772759975e-18	4.5342688088241205e-18	1.7893673727183136e-19
1.5416580258875874e-18	4.5231547057071235e-18	1.8181977216942948e-19
1.5318933080619161e-18	4.5328591509934885e-18	1.6632779665266438e-19
1.5247955850333945e-18	4.5274886813583804e-18	1.6525958138714348e-19
1.5306706708745219e-18	4.518772182446437e-18	1.705071941870283e-19
1.5295158791330643e-18	4.530234125617365e-18	1.6907191881391006e-19
1.5410339528120315e-18	4.518212050414605e-18	1.8710891934119074e-19
1.5342759557197544e-18	4.5156401564550035e-18	1.9078685023084254e-19
1.519494967944461e-18	4.525583811949377e-18	1.9614554482819987e-19
1.540044408259739e-18	4.511218790988146e-18	2.072619173441526e-19
1.5442805156218925e-18	4.516383849546924e-18	2.1075174928450518e-19
1.526681474721903e-18	4.520700643408482e-18	2.1414039865765186e-19
1.5318934830417703e-18	4.505817705867969e-18	2.0928749396219968e-19
1.5360535554799558e-18	4.5150924049192135e-18	2.0177748515343413e-19
1.540852635106314e-18	4.5101975918371125e-18	1.8991433508198523e-19
1.5415087490809824e-18	4.5008614381063855e-18	1.8674513980501347e-19
1.5238889987108283e-18	4.513148234990696e-18	1.8637080984648733e-19
1.5344981952599581e-18	4.503265157859529e-18	1.8550087207564566e-19
1.550793908468147e-18	4.503093759800391e-18	1.9415265145077356e-19
1.5332101475840369e-18	4.5101661763050996e-18	1.8929975891797186e-19
1.5288620959034853e-18	4.495318771332711e-18	1.9955364835576613e-19
1.5407978571465381e-18	4.500645057287739e-18	2.2073299916888374e-19
1.5412117032962572e-18	4.500640531565489e-18	2.238543248952345e-19
1.5417896030402708e-18	4.488905820346172e-18	2.381068184149396e-19
1.5314300687650224e-18	4.498398224749146e-18	2.46247000006923e-19
