abs_z	log_I
0.	-43.854437861090005
0.2	-43.152612716755165
0.4	-41.735726109525146
0.6	-40.13283196040538
0.8	-38.461493397688365
1.	-36.7543422087243
1.2	-35.02485864389767
1.4	-33.27998229461026
1.6	-31.52376592259672
1.8	-29.758780394544264
2.	-27.98675502696544
2.2	-26.208904681529766
2.4	-24.426111335804826
2.6	-22.639031509927523
2.8	-20.848163116203136
3.	-19.05388878907162
3.2	-17.256504920108455
3.4	-15.456241648790746
3.6	-13.653276928402947
3.8	-11.847746588367038
4.	-10.03975161301261
4.2	-8.229363430607368
4.4	-6.416627747450426
4.6	-4.601567264837326
4.8	-2.7841835535348536
5.	-0.9644582193804315
5.2	0.8576465103889261
5.4	2.6821877156735834
5.6	4.509242185577744
5.8	6.338907277778064
6.	8.171302239409235
6.2	10.00657001198383
6.4	11.844879560163939
6.6	13.686428781281283
6.8	15.531448069828336
7.	17.380204628846155
7.2	19.233007637909832
7.4	21.090214404325277
7.6	22.95223763833398
7.8	24.819554001316046
8.	26.6927140726932
8.2	28.572353860076717
8.4	30.45920791971508
8.6	32.35412405782115
8.8	34.25807940663685
9.	36.172197404284226
9.2	38.09776481741139
9.4	40.03624741803002
9.6	41.98930226923644
9.8	43.958783850736225
10.	45.9467406109405
10.2	47.955398224369134
10.4	49.98712621794444
10.6	52.04438608204155
10.8	54.12966170975055
11.	56.24537679703252
11.2	58.39380785204105
11.4	60.57700432382747
11.6	62.796727636910965
11.8	65.05441791234504
12.	67.35119150803615
12.2	69.68786609646767
12.4	72.06500503425595
12.6	74.48297072573483
12.8	76.94197762245739
13.	79.44213838798998
13.2	81.98350015890922
13.4	84.56607063616406
13.6	87.18983545478416
13.8	89.85476895158301
14.	92.56084040399364
14.2	95.3080174110152
14.4	98.09626759988252
14.6	100.92555941673294
14.8	103.79586244802442
15.	106.70714751695117
15.2	109.65938667961215
15.4	112.65255318064813
15.6	115.6866213951517
15.8	118.76156676808141
16.	121.87736575549354
16.2	125.03399576903712
16.4	128.2314351239339
16.6	131.4696629905584
16.8	134.74865934914158
17.	138.0684049475207
17.2	141.42888126165988
17.4	144.83007045871884
17.6	148.27195536247422
17.8	151.7545194209139
18.	155.2777466758403
18.2	158.84162173433336
18.4	162.44612974194058
18.6	166.0912563574872
18.8	169.77698772932592
19.	173.50331047319415
19.2	177.27021165120667
19.4	181.07767875231613
19.6	184.9256996564401
19.8	188.81426266870025
20.	192.7433564386662
20.2	196.71296998087084
20.4	200.7230926518339
20.6	204.773714135846
20.8	208.86482443198534
21.	212.99641383911143
21.2	217.1684729474615
21.4	221.38099262299613
21.6	225.63396400141104
21.8	229.9273784724899
22.	234.2612276732361
22.2	238.63550347777118
22.4	243.05019798835863
22.6	247.50530352686033
22.8	252.0008126265971
23.	256.5367180245772
23.2	261.1130126535804
23.4	265.72968963655546
23.6	270.3867422781165
23.8	275.0841640590502
24.	279.82194862994146
24.2	284.6000898052747
24.4	289.4185815577905
24.6	294.27741801308616
24.8	299.1765934444457
25.	304.11610226788946
25.2	309.09593903742956
25.4	314.1160984405199
25.6	319.17657529371706
25.8	324.2773645384448
26.	329.4184612370673
26.2	334.5998605689597
26.4	339.8215578268498
26.6	345.0835484132516
26.8	350.3858278370663
27.	355.7283917102906
27.2	361.11123574486
27.4	366.5343557496281
27.6	371.9977476274404
27.8	377.50140737232556
28.	383.0453310667928
28.2	388.62951487922794
28.4	394.2539550613852
28.6	399.91864794597143
28.8	405.62358994450534
29.	411.3687775511061
29.2	417.15420731009135
29.4	422.9798758689856
29.6	428.84577993052386
29.8	434.7519162663856
30.	440.6981375518194
30.2	446.68473099023157
30.4	452.7115473692666
30.6	458.778583716877
30.8	464.8858371203714
31.	471.0333047248367
31.2	477.2209837316111
31.4	483.4488713968094
31.6	489.7169650298947
31.8	496.02526199229743
32.	502.37375969607945
32.2	508.76245560264033
32.4	515.1913472214653
32.6	521.660432108912
32.8	528.1697078670361
33.	534.7191721424555
33.2	541.3088226252449
33.4	547.9386570478695
33.6	554.6086731841494
33.8	561.3188688482545
34.	568.0692418937324
34.2	574.8597902125631
34.4	581.6905117342424
34.6	588.5614044248953
34.8	595.4724662864114
35.	602.4236953556095
35.2	609.4150897034228
35.4	616.4466474341119
35.6	623.5183666844973
35.8	630.6302456232149
36.	637.7822824499943
36.2	644.974475394955
36.4	652.2068227179226
36.6	659.4793227077681
36.8	666.79197368176
37.	674.1447739849388
37.2	681.5377219895056
37.4	688.9708160942296
37.6	696.4440547238715
37.8	703.9574363286209
38.	711.510959383551
38.2	719.1046223880859
38.4	726.7384238654839
38.6	734.4123623623336
38.8	742.1264364480628
39.	749.8806447144622
39.2	757.674985775218
39.4	765.509458265461
39.6	773.3840608413244
39.8	781.2987921795127
40.	789.2536509768851
40.2	797.2486359500442
40.4	805.283745834939
40.6	813.3589793864785
40.8	821.4743353781503
41.	829.6298126016541
41.2	837.8254098665404
41.4	846.0611259998603
41.6	854.3369598458235
41.8	862.6529102654623
42.	871.0089761363084
42.2	879.4051563520741
42.4	887.8414498223395
42.6	896.3178554722537
42.8	904.8343722422353
43.	913.390999087687
43.2	921.9877349787107
43.4	930.6245788998336
43.6	939.3015298497404
43.8	948.0185868410084
44.	956.7757488998529
44.2	965.5730150658756
44.4	974.4103843918194
44.6	983.2878559433312
44.8	992.2054287987249
45.	1001.1631020487556
45.2	1010.1608747963948
45.4	1019.1987461566107
