# w	P_gr_w
0	1
0.0050251	1
0.01005	0.9996
0.015075	0.99878
0.020101	0.99754
0.025126	0.99587
0.030151	0.99379
0.035176	0.9913
0.040201	0.98842
0.045226	0.98518
0.050251	0.98161
0.055276	0.97774
0.060302	0.97362
0.065327	0.96929
0.070352	0.96476
0.075377	0.96006
0.080402	0.95519
0.085427	0.95016
0.090452	0.94494
0.095477	0.93954
0.1005	0.93393
0.10553	0.9281
0.11055	0.92206
0.11558	0.9158
0.1206	0.9093
0.12563	0.90258
0.13065	0.89564
0.13568	0.88848
0.1407	0.88111
0.14573	0.87354
0.15075	0.86578
0.15578	0.85786
0.1608	0.84977
0.16583	0.84154
0.17085	0.83317
0.17588	0.82468
0.1809	0.81604
0.18593	0.80727
0.19095	0.79834
0.19598	0.78926
0.20101	0.78
0.20603	0.77057
0.21106	0.76095
0.21608	0.75113
0.22111	0.74112
0.22613	0.7309
0.23116	0.72049
0.23618	0.7099
0.24121	0.69916
0.24623	0.68828
0.25126	0.67732
0.25628	0.66633
0.26131	0.65535
0.26633	0.64444
0.27136	0.63361
0.27638	0.62289
0.28141	0.61228
0.28643	0.60176
0.29146	0.59133
0.29648	0.58094
0.30151	0.5706
0.30653	0.56028
0.31156	0.54998
0.31658	0.53971
0.32161	0.52947
0.32663	0.51927
0.33166	0.50913
0.33668	0.49906
0.34171	0.48906
0.34673	0.47914
0.35176	0.4693
0.35678	0.45954
0.36181	0.44986
0.36683	0.44027
0.37186	0.43075
0.37688	0.42131
0.38191	0.41197
0.38693	0.40271
0.39196	0.39355
0.39698	0.3845
0.40201	0.37555
0.40704	0.36671
0.41206	0.35798
0.41709	0.34936
0.42211	0.34085
0.42714	0.33244
0.43216	0.32413
0.43719	0.31592
0.44221	0.30782
0.44724	0.29983
0.45226	0.29195
0.45729	0.28419
0.46231	0.27656
0.46734	0.26907
0.47236	0.26171
0.47739	0.25451
0.48241	0.24746
0.48744	0.24057
0.49246	0.23385
0.49749	0.22729
0.50251	0.22091
0.50754	0.21469
0.51256	0.20864
0.51759	0.20275
0.52261	0.19702
0.52764	0.19144
0.53266	0.18599
0.53769	0.18069
0.54271	0.17553
0.54774	0.17051
0.55276	0.16564
0.55779	0.16093
0.56281	0.15639
0.56784	0.15201
0.57286	0.1478
0.57789	0.14375
0.58291	0.13983
0.58794	0.13603
0.59296	0.13232
0.59799	0.12869
0.60302	0.12511
0.60804	0.12158
0.61307	0.11809
0.61809	0.11464
0.62312	0.11124
0.62814	0.1079
0.63317	0.10463
0.63819	0.10143
0.64322	0.098311
0.64824	0.095263
0.65327	0.092287
0.65829	0.089377
0.66332	0.086529
0.66834	0.08374
0.67337	0.081008
0.67839	0.078336
0.68342	0.075728
0.68844	0.073189
0.69347	0.070727
0.69849	0.068345
0.70352	0.066043
0.70854	0.063816
0.71357	0.061654
0.71859	0.059543
0.72362	0.057464
0.72864	0.055401
0.73367	0.053341
0.73869	0.051283
0.74372	0.04923
0.74874	0.047197
0.75377	0.045202
0.75879	0.043272
0.76382	0.041432
0.76884	0.039696
0.77387	0.038071
0.77889	0.036556
0.78392	0.035141
0.78894	0.033808
0.79397	0.032534
0.79899	0.031299
0.80402	0.030087
0.80905	0.02889
0.81407	0.027701
0.8191	0.026521
0.82412	0.025355
0.82915	0.024209
0.83417	0.023088
0.8392	0.021995
0.84422	0.020931
0.84925	0.019896
0.85427	0.018886
0.8593	0.017899
0.86432	0.01693
0.86935	0.015978
0.87437	0.015041
0.8794	0.014122
0.88442	0.013221
0.88945	0.012344
0.89447	0.011493
0.8995	0.010671
0.90452	0.0098788
0.90955	0.0091144
0.91457	0.0083744
0.9196	0.0076533
0.92462	0.0069438
0.92965	0.0062399
0.93467	0.005539
0.9397	0.0048424
0.94472	0.0041552
0.94975	0.0034859
0.95477	0.0028469
0.9598	0.0022532
0.96482	0.001718
0.96985	0.0012509
0.97487	0.00085828
0.9799	0.00054311
0.98492	0.00030507
0.98995	0.00014047
0.99497	4.224e-05
1	0
